Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,@fastify/reply-from,12.5.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/reply-from@12.5.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/send,4.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/send@4.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/static,8.3.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/static@8.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/static,9.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/static@9.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/swagger,9.6.1,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/swagger@9.6.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/swagger-ui,5.2.3,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/swagger-ui@5.2.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/under-pressure,9.0.3,runtime,direct runtime dependency,MIT,pkg:npm/%40fastify/under-pressure@9.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@fastify/view,11.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40fastify/view@11.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@ioredis/commands,1.4.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40ioredis/commands@1.4.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@isaacs/balanced-match,4.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40isaacs/balanced-match@4.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@isaacs/brace-expansion,5.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40isaacs/brace-expansion@5.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@isaacs/cliui,8.0.2,runtime,transitive runtime dependency,ISC,pkg:npm/%40isaacs/cliui@8.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@lukeed/ms,2.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/%40lukeed/ms@2.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-darwin-arm64,3.0.3,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40msgpackr-extract/msgpackr-extract-darwin-arm64@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-darwin-x64,3.0.3,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40msgpackr-extract/msgpackr-extract-darwin-x64@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-linux-arm,3.0.3,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40msgpackr-extract/msgpackr-extract-linux-arm@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-linux-arm64,3.0.3,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40msgpackr-extract/msgpackr-extract-linux-arm64@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-linux-x64,3.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/%40msgpackr-extract/msgpackr-extract-linux-x64@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@msgpackr-extract/msgpackr-extract-win32-x64,3.0.3,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40msgpackr-extract/msgpackr-extract-win32-x64@3.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@napi-rs/wasm-runtime,1.1.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40napi-rs/wasm-runtime@1.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@noble/ciphers,2.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40noble/ciphers@2.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@noble/hashes,1.8.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40noble/hashes@1.8.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@noble/hashes,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/%40noble/hashes@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@nodelib/fs.scandir,2.1.5,runtime,transitive runtime dependency,MIT,pkg:npm/%40nodelib/fs.scandir@2.1.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@nodelib/fs.stat,2.0.5,runtime,transitive runtime dependency,MIT,pkg:npm/%40nodelib/fs.stat@2.0.5,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@nodelib/fs.walk,1.2.8,runtime,transitive runtime dependency,MIT,pkg:npm/%40nodelib/fs.walk@1.2.8,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@opentelemetry/api,1.9.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40opentelemetry/api@1.9.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@opentelemetry/api-logs,0.208.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40opentelemetry/api-logs@0.208.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@opentelemetry/core,2.2.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40opentelemetry/core@2.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@opentelemetry/instrumentation,0.208.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40opentelemetry/instrumentation@0.208.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@opentelemetry/semantic-conventions,1.38.0,runtime,transitive runtime dependency,Apache-2.0,pkg:npm/%40opentelemetry/semantic-conventions@1.38.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxc-project/types,0.115.0,runtime,transitive runtime dependency,MIT,pkg:npm/%40oxc-project/types@0.115.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxlint/binding-android-arm-eabi,1.79.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40oxlint/binding-android-arm-eabi@1.79.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxlint/binding-android-arm64,1.79.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40oxlint/binding-android-arm64@1.79.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxlint/binding-darwin-arm64,1.79.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40oxlint/binding-darwin-arm64@1.79.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxlint/binding-darwin-x64,1.79.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40oxlint/binding-darwin-x64@1.79.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@oxlint/binding-freebsd-x64,1.79.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40oxlint/binding-freebsd-x64@1.79.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
